station_id,station_name,province,district,latitude,longitude,timestamp,data_source,data_quality,data_time,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability
HN_BD,Quận Ba Đình - Hà Nội,Hà Nội,Ba Đình,21.0338,105.8142,2025-12-12 10:30:16,openmeteo,medium,2025-12-12T10:30,21.0,23.9,14.6,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,63,67,29,45,12,14,2,9,23
HN_HK,Quận Hoàn Kiếm - Hà Nội,Hà Nội,Hoàn Kiếm,21.0285,105.8542,2025-12-12 10:30:18,openmeteo,medium,2025-12-12T10:30,21.0,23.9,14.6,18.9,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,45,78,22,30,11,13,7,7,26
HN_HBT,Quận Hai Bà Trưng - Hà Nội,Hà Nội,Hai Bà Trưng,21.0091,105.8606,2025-12-12 10:30:21,openmeteo,medium,2025-12-12T10:30,21.0,23.9,14.6,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,34,71,34,65,5,10,6,7,14
HN_DD,Quận Đống Đa - Hà Nội,Hà Nội,Đống Đa,21.019,105.8315,2025-12-12 10:30:23,openmeteo,medium,2025-12-12T10:30,21.0,23.9,14.6,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,64,66,13,58,5,17,5,6,7
HN_CG,Quận Cầu Giấy - Hà Nội,Hà Nội,Cầu Giấy,21.0301,105.8022,2025-12-12 10:30:25,openmeteo,medium,2025-12-12T10:30,21.0,24.0,14.7,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,39,65,20,35,13,17,7,9,24
HN_TX,Quận Thanh Xuân - Hà Nội,Hà Nội,Thanh Xuân,21.001,105.8093,2025-12-12 10:30:27,openmeteo,medium,2025-12-12T10:30,21.0,23.9,14.6,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,69,84,30,60,5,17,5,10,9
HN_HM,Quận Hoàng Mai - Hà Nội,Hà Nội,Hoàng Mai,20.9837,105.8636,2025-12-12 10:30:30,openmeteo,medium,2025-12-12T10:30,21.0,23.9,14.6,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,57,83,39,53,14,15,6,10,23
HN_LB,Quận Long Biên - Hà Nội,Hà Nội,Long Biên,21.054,105.8959,2025-12-12 10:30:32,openmeteo,medium,2025-12-12T10:30,21.0,24.0,14.7,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,61,87,10,69,5,18,6,12,21
HN_NTL,Quận Nam Từ Liêm - Hà Nội,Hà Nội,Nam Từ Liêm,21.0113,105.7547,2025-12-12 10:30:34,openmeteo,medium,2025-12-12T10:30,21.0,24.0,14.7,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,53,75,27,33,12,13,7,12,2
HN_BTL,Quận Bắc Từ Liêm - Hà Nội,Hà Nội,Bắc Từ Liêm,21.0772,105.773,2025-12-12 10:30:36,openmeteo,medium,2025-12-12T10:30,20.8,23.9,14.7,18.9,90,98,63,84.2,1017.0,1025.7,1013.9,1019.5,3.2,28.0,0.4,3.9,333,317.3,0.2,4.0,0,1.8,43.3,44,82,33,48,11,15,2,9,14
HN_HD,Quận Hà Đông - Hà Nội,Hà Nội,Hà Đông,20.9714,105.7788,2025-12-12 10:30:39,openmeteo,medium,2025-12-12T10:30,21.0,23.9,14.6,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,63,84,38,55,14,14,3,12,27
HN_ST,Thị xã Sơn Tây - Hà Nội,Hà Nội,Sơn Tây,21.1376,105.507,2025-12-12 10:30:41,openmeteo,medium,2025-12-12T10:30,20.3,23.1,13.3,18.2,90,100,65,86.6,1017.1,1025.8,1014.0,1019.6,2.4,18.4,0.4,3.4,333,207.9,0.2,4.1,0,1.6,38.5,30,88,17,57,11,18,3,9,16
HN_DP,Huyện Đan Phượng - Hà Nội,Hà Nội,Đan Phượng,21.1394,105.6736,2025-12-12 10:30:43,openmeteo,medium,2025-12-12T10:30,20.9,24.0,14.8,19.0,90,98,63,84.2,1017.0,1025.7,1013.9,1019.5,3.2,28.0,0.4,3.9,333,317.3,0.2,4.0,0,1.8,43.3,41,86,39,50,12,12,2,6,4
HN_HĐ,Huyện Hoài Đức - Hà Nội,Hà Nội,Hoài Đức,21.0392,105.7108,2025-12-12 10:30:45,openmeteo,medium,2025-12-12T10:30,21.0,24.0,14.7,19.0,91,97,60,82.6,1016.9,1025.7,1013.9,1019.5,2.9,23.4,0.5,4.1,353,336.1,0.2,5.6,0,2.0,48.6,54,71,19,69,14,17,5,10,29
HN_QO,Huyện Quốc Oai - Hà Nội,Hà Nội,Quốc Oai,20.9956,105.6119,2025-12-12 10:30:48,openmeteo,medium,2025-12-12T10:30,20.4,22.9,12.8,17.8,89,100,66,87.0,1017.1,1025.8,1014.0,1019.6,1.8,22.7,0.0,3.2,323,279.5,0.2,7.3,0,2.4,57.8,52,72,22,45,11,10,8,9,19
HN_TT,Huyện Thạch Thất - Hà Nội,Hà Nội,Thạch Thất,21.0278,105.5564,2025-12-12 10:30:50,openmeteo,medium,2025-12-12T10:30,21.5,24.2,13.8,18.8,85,100,64,85.9,1017.2,1025.9,1014.1,1019.6,0.8,21.7,0.5,2.9,27,74.5,0.1,6.1,0,2.2,52.4,65,62,37,34,11,19,3,12,25
HN_CM,Huyện Chương Mỹ - Hà Nội,Hà Nội,Chương Mỹ,20.8964,105.7039,2025-12-12 10:30:52,openmeteo,medium,2025-12-12T10:30,21.0,23.6,13.9,18.6,87,97,63,83.7,1017.0,1025.8,1014.0,1019.6,1.8,21.9,0.7,3.5,349,314.4,0.1,6.6,0,2.2,53.1,25,85,40,42,7,17,2,8,2
HN_TO,Huyện Thanh Oai - Hà Nội,Hà Nội,Thanh Oai,20.8556,105.7722,2025-12-12 10:30:54,openmeteo,medium,2025-12-12T10:30,21.0,23.6,13.9,18.6,87,97,63,83.7,1017.0,1025.8,1014.0,1019.6,1.8,21.9,0.7,3.5,349,314.4,0.1,6.6,0,2.2,53.1,66,72,33,33,9,20,4,7,29
HN_TT2,Huyện Thường Tín - Hà Nội,Hà Nội,Thường Tín,20.87,105.8583,2025-12-12 10:30:57,openmeteo,medium,2025-12-12T10:30,21.4,24.1,14.6,19.0,90,97,58,82.2,1016.9,1025.7,1013.8,1019.4,2.9,25.2,0.5,5.2,7,358.8,0.1,6.9,0,2.1,49.9,39,95,28,61,5,16,5,11,23
HN_PX,Huyện Phú Xuyên - Hà Nội,Hà Nội,Phú Xuyên,20.7392,105.9139,2025-12-12 10:30:59,openmeteo,medium,2025-12-12T10:30,21.2,23.9,14.5,19.0,89,97,58,82.6,1016.8,1025.7,1013.8,1019.4,2.2,24.0,0.4,5.5,9,349.0,0.1,8.1,0,2.3,55.8,62,64,27,67,9,14,6,6,30
HN_UH,Huyện Ứng Hòa - Hà Nội,Hà Nội,Ứng Hòa,20.7292,105.8236,2025-12-12 10:31:01,openmeteo,medium,2025-12-12T10:30,21.2,23.9,14.5,19.0,89,97,58,82.6,1016.8,1025.7,1013.8,1019.4,2.2,24.0,0.4,5.5,9,349.0,0.1,8.1,0,2.3,55.8,60,93,40,42,8,19,5,6,20
HN_MD,Huyện Mỹ Đức - Hà Nội,Hà Nội,Mỹ Đức,20.6472,105.7194,2025-12-12 10:31:03,openmeteo,medium,2025-12-12T10:30,20.8,22.0,12.2,17.4,79,98,63,84.5,1017.1,1025.9,1014.0,1019.7,1.6,16.5,0.4,4.2,153,339.7,0.0,7.1,0,2.4,56.5,64,76,26,45,9,11,7,12,26
HN_SL,Huyện Sóc Sơn - Hà Nội,Hà Nội,Sóc Sơn,21.2578,105.8489,2025-12-12 10:31:06,openmeteo,medium,2025-12-12T10:30,20.7,23.9,14.5,18.8,89,97,60,82.5,1017.0,1025.8,1013.9,1019.4,1.8,25.2,0.4,4.1,349,13.7,0.1,5.6,0,1.6,39.4,47,62,36,42,6,16,4,6,25
HN_DH,Huyện Đông Anh - Hà Nội,Hà Nội,Đông Anh,21.1467,105.8464,2025-12-12 10:31:08,openmeteo,medium,2025-12-12T10:30,20.8,23.8,14.8,19.0,91,97,59,82.5,1017.0,1025.7,1013.9,1019.5,2.5,27.0,0.0,4.4,352,4.1,0.1,5.8,0,1.8,43.7,27,89,14,38,8,20,5,6,2
HN_GL,Huyện Gia Lâm - Hà Nội,Hà Nội,Gia Lâm,21.0408,105.95,2025-12-12 10:31:10,openmeteo,medium,2025-12-12T10:30,21.0,24.0,14.8,19.1,87,96,57,80.5,1017.0,1025.7,1013.8,1019.4,2.9,25.0,0.5,5.1,360,7.2,0.1,4.6,0,1.8,44.2,25,88,27,50,5,12,8,7,0
HN_MT,Huyện Mê Linh - Hà Nội,Hà Nội,Mê Linh,21.1753,105.7219,2025-12-12 10:31:12,openmeteo,medium,2025-12-12T10:30,20.9,23.9,14.8,18.9,90,98,63,84.2,1017.0,1025.7,1013.9,1019.5,3.2,28.0,0.4,3.9,333,317.3,0.2,4.0,0,1.8,43.3,57,90,24,30,11,13,5,6,16
HN_PT,Huyện Phúc Thọ - Hà Nội,Hà Nội,Phúc Thọ,21.1031,105.5514,2025-12-12 10:31:15,openmeteo,medium,2025-12-12T10:30,20.4,23.1,13.3,18.2,90,100,65,86.6,1017.1,1025.8,1014.0,1019.6,2.4,18.4,0.4,3.4,333,207.9,0.2,4.1,0,1.6,38.5,60,79,25,67,14,15,4,7,21
