station_id,station_name,province,district,latitude,longitude,timestamp,data_source,data_quality,data_time,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability
HN_BD,Quận Ba Đình - Hà Nội,Hà Nội,Ba Đình,21.0338,105.8142,2025-12-28 00:00:18,openmeteo,medium,2025-12-28 00:00:00,15.8,26.8,12.4,19.0,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,71,83,27,49,9,13,3,10,6
HN_HK,Quận Hoàn Kiếm - Hà Nội,Hà Nội,Hoàn Kiếm,21.0285,105.8542,2025-12-28 00:00:21,openmeteo,medium,2025-12-28 00:00:00,15.8,26.8,12.3,19.0,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,46,69,19,43,15,20,3,8,27
HN_HBT,Quận Hai Bà Trưng - Hà Nội,Hà Nội,Hai Bà Trưng,21.0091,105.8606,2025-12-28 00:00:24,openmeteo,medium,2025-12-28 00:00:00,15.8,26.8,12.4,19.0,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,37,67,14,30,6,15,8,12,24
HN_DD,Quận Đống Đa - Hà Nội,Hà Nội,Đống Đa,21.019,105.8315,2025-12-28 00:00:27,openmeteo,medium,2025-12-28 00:00:00,15.8,26.8,12.4,19.0,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,75,71,29,44,9,20,3,7,0
HN_CG,Quận Cầu Giấy - Hà Nội,Hà Nội,Cầu Giấy,21.0301,105.8022,2025-12-28 00:00:29,openmeteo,medium,2025-12-28 00:00:00,15.9,26.9,12.4,19.1,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,79,72,22,31,10,15,3,9,11
HN_TX,Quận Thanh Xuân - Hà Nội,Hà Nội,Thanh Xuân,21.001,105.8093,2025-12-28 00:00:32,openmeteo,medium,2025-12-28 00:00:00,15.8,26.8,12.4,19.0,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,60,66,38,37,15,18,4,7,17
HN_HM,Quận Hoàng Mai - Hà Nội,Hà Nội,Hoàng Mai,20.9837,105.8636,2025-12-28 00:00:35,openmeteo,medium,2025-12-28 00:00:00,15.8,26.8,12.4,19.0,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,20,65,31,48,9,19,5,6,24
HN_LB,Quận Long Biên - Hà Nội,Hà Nội,Long Biên,21.054,105.8959,2025-12-28 00:00:37,openmeteo,medium,2025-12-28 00:00:00,15.8,26.9,12.4,19.1,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,29,75,40,36,10,10,3,11,1
HN_NTL,Quận Nam Từ Liêm - Hà Nội,Hà Nội,Nam Từ Liêm,21.0113,105.7547,2025-12-28 00:00:39,openmeteo,medium,2025-12-28 00:00:00,15.9,26.9,12.4,19.1,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,61,64,35,34,9,19,2,10,25
HN_BTL,Quận Bắc Từ Liêm - Hà Nội,Hà Nội,Bắc Từ Liêm,21.0772,105.773,2025-12-28 00:00:41,openmeteo,medium,2025-12-28 00:00:00,15.1,26.6,12.0,18.8,78,99,51,75.3,1019.8,1025.2,1007.5,1016.6,2.3,26.3,1.5,7.9,231,104.2,0.0,0.4,0,0.1,1.6,60,76,34,38,9,18,8,8,19
HN_HD,Quận Hà Đông - Hà Nội,Hà Nội,Hà Đông,20.9714,105.7788,2025-12-28 00:00:44,openmeteo,medium,2025-12-28 00:00:00,15.8,26.8,12.4,19.0,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,23,69,13,39,15,15,5,7,0
HN_ST,Thị xã Sơn Tây - Hà Nội,Hà Nội,Sơn Tây,21.1376,105.507,2025-12-28 00:00:46,openmeteo,medium,2025-12-28 00:00:00,14.1,25.5,11.4,18.3,83,98,57,77.8,1019.9,1025.3,1007.5,1016.6,2.8,26.3,0.5,6.0,220,107.3,0.0,0.4,0,0.1,1.8,21,61,18,45,11,13,7,9,3
HN_DP,Huyện Đan Phượng - Hà Nội,Hà Nội,Đan Phượng,21.1394,105.6736,2025-12-28 00:00:48,openmeteo,medium,2025-12-28 00:00:00,15.2,26.7,12.1,18.9,78,99,51,75.3,1019.8,1025.2,1007.5,1016.6,2.3,26.3,1.5,7.9,231,104.2,0.0,0.4,0,0.1,1.6,44,72,35,48,5,12,5,8,26
HN_HĐ,Huyện Hoài Đức - Hà Nội,Hà Nội,Hoài Đức,21.0392,105.7108,2025-12-28 00:00:50,openmeteo,medium,2025-12-28 00:00:00,15.9,26.9,12.4,19.1,71,99,50,74.2,1019.8,1025.2,1007.7,1016.6,1.8,22.2,1.1,7.2,233,102.4,0.0,0.6,0,0.1,2.4,54,75,29,61,6,11,2,9,23
HN_QO,Huyện Quốc Oai - Hà Nội,Hà Nội,Quốc Oai,20.9956,105.6119,2025-12-28 00:00:53,openmeteo,medium,2025-12-28 00:00:00,13.3,25.7,10.6,17.9,81,100,56,77.1,1019.9,1025.4,1007.7,1016.6,2.8,26.1,1.4,5.9,220,104.7,0.0,0.4,0,0.1,2.1,70,88,24,38,14,18,8,11,6
HN_TT,Huyện Thạch Thất - Hà Nội,Hà Nội,Thạch Thất,21.0278,105.5564,2025-12-28 00:00:55,openmeteo,medium,2025-12-28 00:00:00,13.9,26.8,10.5,18.9,85,100,54,76.4,1020.0,1025.3,1007.7,1016.6,2.2,25.5,1.0,4.8,189,99.4,0.0,0.3,0,0.1,1.5,68,65,15,64,14,10,2,6,2
HN_CM,Huyện Chương Mỹ - Hà Nội,Hà Nội,Chương Mỹ,20.8964,105.7039,2025-12-28 00:00:57,openmeteo,medium,2025-12-28 00:00:00,15.0,26.5,12.3,18.7,74,100,52,74.9,1019.8,1025.3,1007.7,1016.6,2.1,22.4,0.7,5.9,239,104.6,0.0,0.5,0,0.1,2.1,64,63,31,30,13,17,5,10,28
HN_TO,Huyện Thanh Oai - Hà Nội,Hà Nội,Thanh Oai,20.8556,105.7722,2025-12-28 00:01:00,openmeteo,medium,2025-12-28 00:00:00,15.0,26.5,12.3,18.7,74,100,52,74.9,1019.8,1025.3,1007.7,1016.6,2.1,22.4,0.7,5.9,239,104.6,0.0,0.5,0,0.1,2.1,64,92,40,63,14,19,7,11,20
HN_TT2,Huyện Thường Tín - Hà Nội,Hà Nội,Thường Tín,20.87,105.8583,2025-12-28 00:01:02,openmeteo,medium,2025-12-28 00:00:00,15.9,26.9,12.3,19.1,73,99,47,73.9,1019.7,1025.1,1007.9,1016.6,2.1,22.5,1.3,7.8,211,106.4,0.0,0.7,0,0.1,3.0,69,65,36,33,14,17,7,11,21
HN_PX,Huyện Phú Xuyên - Hà Nội,Hà Nội,Phú Xuyên,20.7392,105.9139,2025-12-28 00:01:04,openmeteo,medium,2025-12-28 00:00:00,15.8,26.7,12.3,18.9,73,99,50,75.4,1019.8,1025.1,1007.9,1016.6,2.0,22.5,0.8,7.6,225,110.6,0.0,0.6,0,0.1,2.7,39,71,28,49,9,10,5,9,16
HN_UH,Huyện Ứng Hòa - Hà Nội,Hà Nội,Ứng Hòa,20.7292,105.8236,2025-12-28 00:01:06,openmeteo,medium,2025-12-28 00:00:00,15.8,26.7,12.3,18.9,73,99,50,75.4,1019.8,1025.1,1007.9,1016.6,2.0,22.5,0.8,7.6,225,110.6,0.0,0.6,0,0.1,2.7,77,86,18,37,5,13,6,7,20
HN_MD,Huyện Mỹ Đức - Hà Nội,Hà Nội,Mỹ Đức,20.6472,105.7194,2025-12-28 00:01:09,openmeteo,medium,2025-12-28 00:00:00,14.2,25.0,10.3,17.6,75,96,54,76.4,1019.9,1025.1,1008.3,1016.7,1.8,13.5,0.5,5.7,217,143.5,0.0,0.9,0,0.1,3.2,30,77,18,58,8,15,5,10,13
HN_SL,Huyện Sóc Sơn - Hà Nội,Hà Nội,Sóc Sơn,21.2578,105.8489,2025-12-28 00:01:11,openmeteo,medium,2025-12-28 00:00:00,16.5,26.6,12.0,18.8,64,94,49,73.0,1019.8,1025.2,1007.8,1016.7,1.1,24.4,1.1,8.1,288,96.1,0.0,0.2,0,0.0,0.9,20,64,38,53,6,18,8,8,7
HN_DH,Huyện Đông Anh - Hà Nội,Hà Nội,Đông Anh,21.1467,105.8464,2025-12-28 00:01:13,openmeteo,medium,2025-12-28 00:00:00,16.4,26.2,12.4,18.8,68,97,52,74.8,1019.8,1025.2,1007.8,1016.6,1.6,23.9,0.5,8.3,243,99.0,0.0,0.3,0,0.1,1.5,49,80,18,34,7,16,7,9,10
HN_GL,Huyện Gia Lâm - Hà Nội,Hà Nội,Gia Lâm,21.0408,105.95,2025-12-28 00:01:16,openmeteo,medium,2025-12-28 00:00:00,17.0,25.9,12.6,18.8,66,96,51,73.9,1019.7,1025.1,1008.2,1016.7,1.5,21.8,0.0,8.1,194,99.4,0.0,0.3,0,0.1,1.8,55,72,11,52,8,12,2,8,17
HN_MT,Huyện Mê Linh - Hà Nội,Hà Nội,Mê Linh,21.1753,105.7219,2025-12-28 00:01:18,openmeteo,medium,2025-12-28 00:00:00,15.1,26.6,12.1,18.9,78,99,51,75.3,1019.8,1025.2,1007.5,1016.6,2.3,26.3,1.5,7.9,231,104.2,0.0,0.4,0,0.1,1.6,50,93,25,69,6,13,3,8,16
HN_PT,Huyện Phúc Thọ - Hà Nội,Hà Nội,Phúc Thọ,21.1031,105.5514,2025-12-28 00:01:20,openmeteo,medium,2025-12-28 00:00:00,14.2,25.5,11.4,18.3,83,98,57,77.8,1019.9,1025.3,1007.5,1016.6,2.8,26.3,0.5,6.0,220,107.3,0.0,0.4,0,0.1,1.8,23,82,10,70,13,17,6,6,25
HN_BG,Huyện Ba Vì - Hà Nội,Hà Nội,Ba Vì,21.1992,105.4239,2025-12-28 00:01:22,openmeteo,medium,2025-12-28 00:00:00,15.1,25.7,12.6,18.8,81,98,57,77.7,1019.8,1025.2,1007.4,1016.5,1.8,22.3,0.4,6.1,270,122.2,0.0,0.5,0,0.1,1.8,67,63,39,53,6,14,5,10,22
HN_ML,Huyện Mỹ Đức - Hà Nội,Hà Nội,Mỹ Đức,20.6472,105.7194,2025-12-28 00:01:25,openmeteo,medium,2025-12-28 00:00:00,14.2,25.0,10.3,17.6,75,96,54,76.4,1019.9,1025.1,1008.3,1016.7,1.8,13.5,0.5,5.7,217,143.5,0.0,0.9,0,0.1,3.2,63,61,18,49,13,19,8,8,21
HN_PH,Huyện Phú Xuyên - Hà Nội,Hà Nội,Phú Xuyên,20.7392,105.9139,2025-12-28 00:01:27,openmeteo,medium,2025-12-28 00:00:00,15.8,26.7,12.3,18.9,73,99,50,75.4,1019.8,1025.1,1007.9,1016.6,2.0,22.5,0.8,7.6,225,110.6,0.0,0.6,0,0.1,2.7,31,76,26,69,6,14,6,7,26
HCM_1,Quận 1 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 1,10.7757,106.7004,2025-12-28 00:01:29,openmeteo,medium,2025-12-28 00:00:00,24.6,32.0,21.0,26.3,91,98,38,73.1,1012.0,1014.4,1006.4,1010.4,2.9,12.8,0.4,4.7,90,29.3,0.0,0.0,0,0.0,0.0,36,94,19,64,8,19,3,10,2
HCM_2,Quận 2 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 2,10.7872,106.7498,2025-12-28 00:01:32,openmeteo,medium,2025-12-28 00:00:00,24.6,32.1,21.0,26.3,91,98,38,73.1,1012.0,1014.4,1006.4,1010.4,2.9,12.8,0.4,4.7,90,29.3,0.0,0.0,0,0.0,0.0,33,86,15,40,12,11,4,10,22
HCM_3,Quận 3 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 3,10.7823,106.6848,2025-12-28 00:01:34,openmeteo,medium,2025-12-28 00:00:00,24.2,32.0,20.1,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,63,89,32,51,10,15,7,6,26
HCM_4,Quận 4 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 4,10.7642,106.7053,2025-12-28 00:01:36,openmeteo,medium,2025-12-28 00:00:00,24.6,32.0,20.9,26.2,91,98,38,73.1,1012.0,1014.4,1006.4,1010.4,2.9,12.8,0.4,4.7,90,29.3,0.0,0.0,0,0.0,0.0,38,91,20,33,10,15,5,12,4
HCM_5,Quận 5 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 5,10.754,106.669,2025-12-28 00:01:38,openmeteo,medium,2025-12-28 00:00:00,24.2,32.0,20.0,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,28,68,20,35,11,15,6,6,14
HCM_6,Quận 6 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 6,10.7464,106.6492,2025-12-28 00:01:41,openmeteo,medium,2025-12-28 00:00:00,24.2,32.0,20.1,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,29,68,35,44,7,13,8,12,27
HCM_7,Quận 7 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 7,10.7329,106.7269,2025-12-28 00:01:43,openmeteo,medium,2025-12-28 00:00:00,24.6,32.1,21.0,26.3,91,98,38,73.1,1012.0,1014.4,1006.4,1010.4,2.9,12.8,0.4,4.7,90,29.3,0.0,0.0,0,0.0,0.0,70,68,21,57,12,16,3,10,4
HCM_8,Quận 8 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 8,10.7241,106.6286,2025-12-28 00:01:45,openmeteo,medium,2025-12-28 00:00:00,24.3,32.0,20.1,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,21,65,40,69,15,15,5,8,3
HCM_9,Quận 9 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 9,10.8428,106.8287,2025-12-28 00:01:47,openmeteo,medium,2025-12-28 00:00:00,24.7,31.7,20.9,26.0,92,98,45,74.8,1012.1,1014.4,1006.5,1010.4,2.1,13.1,0.5,4.2,59,316.9,0.0,0.0,0,0.0,0.0,74,75,25,42,8,13,2,7,15
HCM_10,Quận 10 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 10,10.7679,106.6668,2025-12-28 00:01:50,openmeteo,medium,2025-12-28 00:00:00,24.2,32.0,20.1,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,47,66,21,47,7,15,7,6,23
HCM_11,Quận 11 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 11,10.7639,106.6474,2025-12-28 00:01:52,openmeteo,medium,2025-12-28 00:00:00,24.2,32.0,20.1,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,20,94,16,53,9,11,7,8,25
HCM_12,Quận 12 - TP Hồ Chí Minh,TP Hồ Chí Minh,Quận 12,10.8642,106.6543,2025-12-28 00:01:54,openmeteo,medium,2025-12-28 00:00:00,24.3,32.0,20.0,26.0,93,100,36,73.1,1012.1,1014.4,1006.4,1010.4,1.8,13.3,0.5,4.4,79,323.5,0.0,0.0,0,0.0,0.0,51,62,23,67,6,20,7,7,7
HCM_GB,Quận Gò Vấp - TP Hồ Chí Minh,TP Hồ Chí Minh,Gò Vấp,10.8383,106.6653,2025-12-28 00:01:56,openmeteo,medium,2025-12-28 00:00:00,24.2,31.9,20.0,26.0,93,100,36,73.1,1012.1,1014.4,1006.4,1010.4,1.8,13.3,0.5,4.4,79,323.5,0.0,0.0,0,0.0,0.0,39,72,26,33,6,13,3,12,9
HCM_TB,Quận Tân Bình - TP Hồ Chí Minh,TP Hồ Chí Minh,Tân Bình,10.8014,106.6526,2025-12-28 00:01:59,openmeteo,medium,2025-12-28 00:00:00,24.2,32.0,20.1,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,74,90,32,48,11,17,3,9,8
HCM_TP,Quận Tân Phú - TP Hồ Chí Minh,TP Hồ Chí Minh,Tân Phú,10.7902,106.6289,2025-12-28 00:02:01,openmeteo,medium,2025-12-28 00:00:00,24.2,32.0,20.1,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,28,65,26,67,5,13,6,7,12
HCM_BT,Quận Bình Tân - TP Hồ Chí Minh,TP Hồ Chí Minh,Bình Tân,10.7654,106.6032,2025-12-28 00:02:03,openmeteo,medium,2025-12-28 00:00:00,24.3,32.0,20.1,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,38,60,35,33,5,20,7,11,0
HCM_BT2,Quận Bình Thạnh - TP Hồ Chí Minh,TP Hồ Chí Minh,Bình Thạnh,10.801,106.6959,2025-12-28 00:02:06,openmeteo,medium,2025-12-28 00:00:00,24.6,32.0,20.9,26.2,91,98,38,73.1,1012.0,1014.4,1006.4,1010.4,2.9,12.8,0.4,4.7,90,29.3,0.0,0.0,0,0.0,0.0,55,80,26,58,7,19,2,12,12
HCM_PN,Quận Phú Nhuận - TP Hồ Chí Minh,TP Hồ Chí Minh,Phú Nhuận,10.7992,106.6753,2025-12-28 00:02:08,openmeteo,medium,2025-12-28 00:00:00,24.2,32.0,20.0,26.1,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,46,82,38,51,7,13,6,8,26
HCM_TD,Thành phố Thủ Đức - TP Hồ Chí Minh,TP Hồ Chí Minh,Thủ Đức,10.8494,106.7717,2025-12-28 00:02:10,openmeteo,medium,2025-12-28 00:00:00,24.1,31.9,19.9,25.9,93,100,36,73.1,1012.1,1014.4,1006.4,1010.4,1.8,13.3,0.5,4.4,79,323.5,0.0,0.0,0,0.0,0.0,73,83,10,61,15,13,6,7,7
HCM_CC,Huyện Củ Chi - TP Hồ Chí Minh,TP Hồ Chí Minh,Củ Chi,10.9733,106.4939,2025-12-28 00:02:12,openmeteo,medium,2025-12-28 00:00:00,24.5,32.6,19.8,25.8,89,100,37,72.7,1012.2,1014.5,1006.4,1010.4,0.8,13.4,0.0,4.0,117,281.1,0.0,0.0,0,0.0,0.0,80,65,33,65,10,18,6,6,21
HCM_HM,Huyện Hóc Môn - TP Hồ Chí Minh,TP Hồ Chí Minh,Hóc Môn,10.8894,106.5953,2025-12-28 00:02:15,openmeteo,medium,2025-12-28 00:00:00,24.2,32.0,20.0,26.0,93,100,36,73.1,1012.1,1014.4,1006.4,1010.4,1.8,13.3,0.5,4.4,79,323.5,0.0,0.0,0,0.0,0.0,76,78,35,37,13,13,3,12,12
HCM_BC,Huyện Bình Chánh - TP Hồ Chí Minh,TP Hồ Chí Minh,Bình Chánh,10.7269,106.5672,2025-12-28 00:02:17,openmeteo,medium,2025-12-28 00:00:00,24.3,32.1,20.1,26.2,93,100,32,73.8,1012.0,1014.5,1006.4,1010.4,2.7,14.3,0.4,4.6,113,15.6,0.0,0.0,0,0.0,0.0,21,63,24,61,6,10,7,10,14
HCM_NB,Huyện Nhà Bè - TP Hồ Chí Minh,TP Hồ Chí Minh,Nhà Bè,10.6956,106.735,2025-12-28 00:02:19,openmeteo,medium,2025-12-28 00:00:00,24.6,32.1,21.0,26.3,91,98,38,73.1,1012.0,1014.4,1006.4,1010.4,2.9,12.8,0.4,4.7,90,29.3,0.0,0.0,0,0.0,0.0,58,92,25,63,13,17,3,6,16
HCM_CG,Huyện Cần Giờ - TP Hồ Chí Minh,TP Hồ Chí Minh,Cần Giờ,10.4111,106.9547,2025-12-28 00:02:22,openmeteo,medium,2025-12-28 00:00:00,25.4,31.3,23.1,26.3,85,95,48,75.4,1011.9,1014.2,1006.7,1010.5,5.0,12.8,0.4,6.1,90,92.1,0.0,0.0,0,0.0,0.0,56,76,30,51,11,18,6,7,14
HP_LC,Quận Lê Chân - Hải Phòng,Hải Phòng,Lê Chân,20.8516,106.6822,2025-12-28 00:02:24,openmeteo,medium,2025-12-28 00:00:00,16.4,23.9,11.9,18.7,76,94,48,73.6,1019.8,1024.3,1009.6,1016.7,1.8,17.7,0.8,7.1,90,77.4,0.0,0.9,0,0.2,4.5,48,86,39,49,6,13,8,10,25
HP_NQ,Quận Ngô Quyền - Hải Phòng,Hải Phòng,Ngô Quyền,20.858,106.7053,2025-12-28 00:02:26,openmeteo,medium,2025-12-28 00:00:00,16.4,24.0,10.2,18.6,76,92,48,74.1,1019.8,1024.3,1009.7,1016.8,2.3,16.6,1.1,6.4,72,76.8,0.0,1.5,0,0.2,5.7,61,89,21,69,11,19,3,11,8
